Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Thrust,Efficiency
0.75,3,1.5,60,3,0.05,2500,1.662309874,0.02,
0.75,5,0.25,30,3,0.05,500,0.1290864728,0.14,
0.75,5,0.25,30,3,0.05,1000,0.5352996705,0.16,
0.75,5,0.25,30,3,0.05,1500,1.196291553,0.16,
0.75,5,0.25,30,3,0.05,2000,2.161509974,0.17,
0.75,5,0.25,30,3,0.05,2500,3.408365871,0.17,
0.75,5,0.25,45,3,0.05,500,0.1512370143,0.20,
0.75,5,0.25,45,3,0.05,1000,0.584630914,0.20,
0.75,5,0.25,45,3,0.05,1500,1.617251421,0.28,
0.75,5,0.25,45,3,0.05,2000,2.32424121,0.21,
0.75,5,0.25,45,3,0.05,2500,3.657716103,0.22,
0.75,5,0.25,60,3,0.05,500,0.1461484636,0.21,
0.75,5,0.25,60,3,0.05,1000,0.5977819601,0.23,
0.75,5,0.25,60,3,0.05,1500,1.348157236,0.24,
0.75,5,0.25,60,3,0.05,2000,2.372311335,0.24,
0.75,5,0.25,60,3,0.05,2500,3.695494519,0.25,
0.75,5,0.75,30,3,0.05,500,0.4074756669,0.25,
0.75,5,0.75,30,3,0.05,1000,1.606978089,0.25,
0.75,5,0.75,30,3,0.05,1500,3.628294454,0.26,
0.75,5,0.75,30,3,0.05,2000,6.402317404,0.26,
0.75,5,0.75,30,3,0.05,2500,10.21437175,0.27,
0.75,5,0.75,45,3,0.05,500,0.2264734845,0.21,
0.75,5,0.75,45,3,0.05,1000,0.8982156604,0.22,
0.75,5,0.75,45,3,0.05,1500,1.997636502,0.22,
0.75,5,0.75,45,3,0.05,2000,3.516712852,0.23,
0.75,5,0.75,45,3,0.05,2500,5.44572867,0.23,
0.75,5,0.75,60,3,0.05,500,0.1478779925,0.07,
0.75,5,0.75,60,3,0.05,1000,0.546310939,0.06,
0.75,5,0.75,60,3,0.05,1500,1.333315885,0.07,
0.75,5,0.75,60,3,0.05,2000,2.42021582,0.08,
0.75,5,0.75,60,3,0.05,2500,3.785826949,0.08,
0.75,5,1.25,30,3,0.05,500,0.5442271245,0.18,
0.75,5,1.25,30,3,0.05,1000,2.240719714,0.19,
0.75,5,1.25,30,3,0.05,1500,4.822123196,0.18,
0.75,5,1.25,30,3,0.05,2000,8.775374517,0.18,
0.75,5,1.25,30,3,0.05,2500,13.85887508,0.18,
0.75,5,1.25,45,3,0.05,500,0.2878917592,0.11,
0.75,5,1.25,45,3,0.05,1000,1.138993078,0.12,
0.75,5,1.25,45,3,0.05,1500,2.504318703,0.11,
0.75,5,1.25,45,3,0.05,2000,4.550247761,0.12,
0.75,5,1.25,45,3,0.05,2500,7.078014497,0.12,
0.75,5,1.25,60,3,0.05,500,0.07905387288,0.01,
0.75,5,1.25,60,3,0.05,1000,0.3314369791,0.01,
0.75,5,1.25,60,3,0.05,1500,0.6765082283,0.01,
0.75,5,1.25,60,3,0.05,2000,0.8033267293,0.00,
0.75,5,1.25,60,3,0.05,2500,1.19797732,0.00,
0.75,5,1.5,30,3,0.05,500,0.449305975,0.13,
0.75,5,1.5,30,3,0.05,1000,1.807012201,0.14,
0.75,5,1.5,30,3,0.05,1500,4.339313368,0.14,
0.75,5,1.5,30,3,0.05,2000,7.524058598,0.14,
0.75,5,1.5,30,3,0.05,2500,12.70846192,0.15,
0.75,5,1.5,45,3,0.05,500,0.2146112223,0.07,
0.75,5,1.5,45,3,0.05,1000,0.8830626712,0.07,
